title,rating,price
"Motorola G34 5G (Ice Blue, 128 GB)  (8 GB RAM)",4.2,"₹11,999"
"Motorola Edge 50 Pro 5G with 68W Charger (Luxe Lavender, 256 GB)  (8 GB RAM)",4.4,"₹29,999"
"Motorola g04s (Sea Green, 64 GB)  (4 GB RAM)",4.2,"₹6,999"
"Motorola g64 5G (Pearl Blue, 128 GB)  (8 GB RAM)",4.2,"₹13,999"
"Motorola Edge 50 Fusion (Hot Pink, 128 GB)  (8 GB RAM)",4.5,"₹22,999"
"Motorola G85 5G (Cobalt Blue, 128 GB)  (8 GB RAM)",4.5,"₹17,999"
"POCO M6 Pro 5G (Power Black, 128 GB)  (6 GB RAM)",4.2,"₹9,999"
"POCO C65 (Pastel Blue, 128 GB)  (4 GB RAM)",4.3,"₹6,799"
"POCO C65 (Matte Black, 128 GB)  (4 GB RAM)",4.3,"₹6,799"
"POCO C61  - Locked with Airtel Prepaid (Mystical Green, 64 GB)  (4 GB RAM)",4.2,"₹5,999"
"POCO C65 (Matte Black, 128 GB)  (6 GB RAM)",4.2,"₹7,499"
"POCO C61 (Ethereal Blue, 64 GB)  (4 GB RAM)",4.2,"₹6,499"
"vivo T3x 5G (Crimson Bliss, 128 GB)  (6 GB RAM)",4.5,"₹14,999"
"vivo T3 Lite 5G (Vibrant Green, 128 GB)  (6 GB RAM)",4.4,"₹13,460"
"vivo T3x 5G (Celestial Green, 128 GB)  (4 GB RAM)",4.5,"₹13,499"
"vivo T2 Pro 5G (Dune Gold, 256 GB)  (8 GB RAM)",4.5,"₹23,999"
"vivo T3 5G (Crystal Flake, 128 GB)  (8 GB RAM)",4.4,"₹19,999"
"vivo T3 Lite 5G (Vibrant Green, 128 GB)  (4 GB RAM)",4.5,"₹10,499"
"realme C63 (Jade Green, 128 GB)  (4 GB RAM)",4.3,"₹8,999"
"realme P1 5G (Phoenix Red, 128 GB)  (6 GB RAM)",4.3,"₹15,999"
"realme C61 (Safari Green, 128 GB)  (6 GB RAM)",4.4,"₹8,999"
"realme C51 (Carbon Black, 64 GB)  (4 GB RAM)",4.3,"₹8,999"
"realme C53 (Champion Gold, 128 GB)  (4 GB RAM)",4.1,"₹9,999"
"realme C51 (Mint Green, 64 GB)  (4 GB RAM)",4.3,"₹8,999"
"Apple iPhone 14 Plus (Starlight, 128 GB)",4.6,"₹56,499"
"Apple iPhone 15 (Blue, 128 GB)",4.6,"₹65,499"
"Apple iPhone 15 (Black, 128 GB)",4.6,"₹65,499"
"Apple iPhone 15 (Pink, 128 GB)",4.6,"₹65,999"
"Apple iPhone 13 (Starlight, 128 GB)",4.6,"₹51,999"
"Apple iPhone 12 (Black, 64 GB)",4.6,"₹38,999"
"SAMSUNG Galaxy F15 5G (Jazzy Green, 128 GB)  (4 GB RAM)",4.2,"₹12,999"
"SAMSUNG Galaxy A15 5G (Blue Black, 128 GB)  (6 GB RAM)",4.3,"₹17,999"
"SAMSUNG Galaxy F34 5G (Mystic Green, 128 GB)  (6 GB RAM)",4.2,"₹15,499"
"SAMSUNG Galaxy S23 FE (Mint, 128 GB)  (8 GB RAM)",4.3,"₹39,999"
"SAMSUNG Galaxy Z Flip3 5G (Cream, 128 GB)  (8 GB RAM)",4.3,"₹37,999"
"SAMSUNG Galaxy S23 5G (Cream, 128 GB)  (8 GB RAM)",4.5,"₹49,999"
"REDMI 13C 5G (Startrail Green, 128 GB)  (4 GB RAM)",4.3,"₹10,499"
"REDMI 13C 5G (Starlight Black, 128 GB)  (4 GB RAM)",4.3,"₹10,499"
"REDMI 13C (Starfrost White, 128 GB)  (4 GB RAM)",4.3,"₹7,699"
"REDMI 12 5G (Pastel Blue, 128 GB)  (6 GB RAM)",4.2,"₹12,499"
"REDMI 13C 5G (Startrail Silver, 128 GB)  (4 GB RAM)",4.3,"₹10,499"
"REDMI 12 (Jade Black, 128 GB)  (4 GB RAM)",4.3,"₹9,499"
"OPPO Reno11 Pro 5G (Pearl White, 256 GB)  (12 GB RAM)",4.3,"₹29,651"
"OPPO F25 Pro 5G (Lava Red, 128 GB)  (8 GB RAM)",4.3,"₹23,999"
"OPPO Reno10 5G (Ice Blue, 256 GB)  (8 GB RAM)",4.3,"₹32,499"
"OPPO A59 5G (Silk Gold, 128 GB)  (6 GB RAM)",4.3,"₹15,499"
"OPPO Reno10 Pro+ 5G (Silvery Grey, 256 GB)  (12 GB RAM)",4.5,"₹54,999"
"OPPO A3 Pro 5G (Moonlight Purple, 128 GB)  (8 GB RAM)",4.2,"₹17,999"
